# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = peng_model
# start_datetime = 2025-05-15 10:16:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 5000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/admin/AppData/Local/Temp/Rtmp2PZJw8/standata-69c58b2fbe.json
# init = 2 (Default)
# random
#   seed = 619260806
# output
#   file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/sampling-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/peng-profile-2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=peng_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B.1.1,B.2.1,B.3.1,B.1.2,B.2.2,B.3.2,a,sigma
680.987,0.99857,0.000865397,8,511,0,-653.208,0.556614,0.439357,0.767833,0.687634,0.46281,0.82557,0.174782,0.0746107
681.946,0.713242,0.000914771,7,127,0,-674.816,0.605465,0.469685,0.788862,0.702993,0.50217,0.85959,0.16777,0.0774812
684.042,0.989368,0.000513755,6,127,0,-677.716,0.586314,0.4615,0.788415,0.721687,0.537823,0.873665,0.165737,0.0776926
684.295,0.978339,0.000533176,7,127,0,-681.594,0.589133,0.47276,0.773489,0.721512,0.532322,0.886329,0.167271,0.0783869
688.449,0.961866,0.000539753,10,1023,0,-676.063,1.05829,1.03738,1.35129,1.21783,1.1398,1.47732,0.0455526,0.0788192
691.724,0.949838,0.00052696,6,63,0,-684.083,1.03972,1.04519,1.32494,1.2071,1.14158,1.47978,0.0459245,0.0784284
691.157,0.999973,0.000501261,6,63,0,-690.694,1.04496,1.0386,1.32389,1.2048,1.14561,1.47994,0.0456227,0.0784272
692.392,0.999521,0.000531236,6,63,0,-690.29,1.04322,1.04798,1.33492,1.20989,1.13415,1.46985,0.0456817,0.0780854
692.46,0.981893,0.000561943,6,127,0,-689.574,1.04568,1.05155,1.33302,1.20424,1.1309,1.48111,0.0447932,0.0756562
692.021,0.99884,0.00057205,8,255,0,-685.248,1.01154,0.985264,1.28499,1.1631,1.07664,1.41284,0.0563669,0.0792352
689.359,0.999768,0.000603309,6,63,0,-688.517,0.98416,0.976035,1.29628,1.1752,1.07579,1.41854,0.0572836,0.0795498
692.983,0.993035,0.000636988,5,31,0,-688.543,0.995389,0.985052,1.28616,1.1588,1.07323,1.41576,0.058206,0.0790135
690.832,0.9951,0.00066259,6,63,0,-689.49,0.999259,0.97781,1.29008,1.14469,1.06694,1.41955,0.0573014,0.0787014
688.527,0.9998,0.000691727,6,63,0,-685.179,0.9971,0.980606,1.29282,1.17669,1.04419,1.4084,0.0574163,0.0789923
691.193,0.909668,0.0007287,8,319,0,-679.535,0.890644,0.875599,1.15438,1.06383,0.925873,1.27908,0.0830332,0.0811091
691.048,0.912078,0.000637141,9,767,0,-686.091,0.92322,0.893798,1.20301,1.09334,0.982242,1.31425,0.0737862,0.0767393
692.633,0.998343,0.00056049,6,63,0,-685.859,0.922724,0.874558,1.17984,1.0792,0.974633,1.3339,0.0768463,0.0750356
691.692,0.994215,0.000588451,7,255,0,-684.52,0.941574,0.950392,1.24555,1.11765,1.00503,1.37086,0.0681497,0.0762146
691,0.998336,0.000612216,6,127,0,-688.451,0.979759,0.934129,1.22367,1.12476,1.04161,1.36949,0.0667163,0.078082
694.374,0.9765,0.000641859,9,703,0,-687.071,0.878593,0.852496,1.16051,1.04295,0.936818,1.2793,0.0858109,0.0728064
692.953,0.983112,0.000643636,6,63,0,-689.986,0.909606,0.858699,1.13883,1.03934,0.922244,1.27193,0.0867905,0.0730811
691.543,0.923712,0.00065384,8,383,0,-686.799,0.849579,0.798109,1.08551,0.982598,0.825908,1.19499,0.10217,0.0751959
694.232,0.988866,0.000590023,6,63,0,-689.761,0.822152,0.795513,1.07442,0.990544,0.841633,1.20028,0.1024,0.0745802
691.909,0.921634,0.000606146,8,319,0,-687.29,0.879945,0.836607,1.13818,1.01337,0.894285,1.24063,0.0929547,0.07737
690.365,0.970664,0.000545261,8,255,0,-685.319,0.83411,0.801201,1.10444,1.00207,0.860216,1.20521,0.097659,0.0671902
689.16,0.991783,0.000540379,6,63,0,-685.158,0.867447,0.789471,1.09187,1.00154,0.882952,1.2316,0.096675,0.0676158
690.87,0.999947,0.00055799,6,63,0,-686.966,0.853747,0.787527,1.10817,1.01135,0.890578,1.21959,0.0957164,0.0678119
693.288,0.924985,0.000585086,6,63,0,-686.257,0.846589,0.825372,1.09297,0.992765,0.858062,1.21225,0.0980084,0.0705101
695.285,0.996833,0.000530446,6,63,0,-691.432,0.849104,0.790123,1.10389,0.995892,0.862952,1.21365,0.0982338,0.0717525
693.994,0.966435,0.000552558,8,511,0,-691.466,0.873255,0.827441,1.12541,1.03748,0.903573,1.26709,0.0908,0.0764126
696.015,0.987965,0.000542746,6,63,0,-689.953,0.871315,0.825079,1.12769,1.01814,0.897931,1.2382,0.0920815,0.0745587
693.682,0.997287,0.000555425,9,639,0,-689.555,0.834379,0.760681,1.06618,0.970034,0.82754,1.19421,0.103583,0.0779361
693.898,0.999601,0.000578317,6,127,0,-688.364,0.831515,0.76084,1.06508,0.971166,0.830001,1.19544,0.103987,0.0782318
690.821,0.994668,0.000604465,6,63,0,-689.042,0.8213,0.788606,1.0484,0.973808,0.850712,1.17257,0.105062,0.0795086
693.952,0.987029,0.000625609,6,63,0,-689.312,0.821989,0.775467,1.07296,0.982181,0.849701,1.18551,0.10383,0.0787308
693.733,0.999584,0.000637995,5,63,0,-691.563,0.81771,0.776188,1.07952,0.985892,0.829406,1.19547,0.102803,0.0778294
692.249,0.999173,0.000665809,5,63,0,-691.306,0.84075,0.782182,1.06063,0.966356,0.852137,1.19749,0.102493,0.0783276
693.63,0.887795,0.000693938,7,255,0,-687.98,0.80647,0.74101,1.03287,0.939133,0.796019,1.15489,0.112025,0.0775018
695.177,0.995197,0.000588364,9,575,0,-690.572,0.870241,0.822066,1.11049,1.01489,0.890629,1.24392,0.0938649,0.0711919
693.522,0.999551,0.000608655,7,191,0,-691.39,0.874342,0.825377,1.13251,1.02037,0.911446,1.26593,0.0893362,0.0782676
692.93,0.977638,0.00063441,8,447,0,-690.583,0.923233,0.915898,1.19339,1.08023,0.972712,1.33428,0.074983,0.069822
693.136,0.888079,0.000635004,6,63,0,-686.861,0.935414,0.907384,1.18537,1.08921,0.974119,1.33414,0.075983,0.0690459
693.505,0.998675,0.0691201,3,7,0,-692.312,0.932033,0.898284,1.20427,1.08507,0.982152,1.31425,0.0762374,0.0691069
693.505,0,0.690792,0,1,1,-689.212,0.932033,0.898284,1.20427,1.08507,0.982152,1.31425,0.0762374,0.0691069
